unique_id,Graduation_year,job_title_alumni,Industry,School,study_level_alumni
1492273,2025,early_others,,SCES,0
1492272,2025,technical_professional,,SBS,0
1492271,2022,early_others,,SHSS,1
1492270,2025,early_others,FP,SBS,1
1492269,2025,early_others,,STH,1
1492268,2025,early_others,,SI,0
1492267,2025,senior_executives,FP,SBS,0
1492266,2025,early_others,MT,SBS,0
1492265,2025,early_others,,SBS,1
1492264,2025,technical_professional,MT,SBS,1
1492263,2025,early_others,,SLS,1
1492262,2025,admin_sales,FP,SLS,1
1492261,2025,technical_professional,FP,SBS,1
1492260,2025,early_others,,SBS,0
1492259,2025,early_others,,SLS,0
1492258,2025,early_others,,SCES,0
1492257,2025,admin_sales,MT,SBS,0
1492256,2025,early_others,,SI,1
1492255,2025,early_others,PN,SI,0
1492254,2025,early_others,,SBS,0
1492253,2025,early_others,,SBS,1
1492252,2025,early_others,,SCES,1
1492251,2025,early_others,,SHSS,1
1492250,2025,early_others,,SI,0
1492246,2025,early_others,,SLS,1
1492245,2025,early_others,PN,SBS,0
1492243,2025,technical_professional,FP,,1
1492242,2025,early_others,FP,SLS,1
1492241,2025,technical_professional,FP,,1
1492240,2025,early_others,,SLS,1
1492239,2025,early_others,,SLS,1
1492238,2025,early_others,,SLS,1
1492237,2024,admin_sales,,STH,1
1492236,2022,technical_professional,FP,SI,1
1492235,2025,early_others,,SLS,1
1492234,2025,early_others,,SCES,0
1492233,2025,early_others,,SLS,1
1492232,2025,early_others,FP,SBS,1
1492231,2026,early_others,,SBS,1
1492230,2025,senior_executives,FP,SBS,1
1492229,2025,early_others,,SCES,1
1492228,2023,senior_executives,FP,SBS,0
1492227,2023,senior_executives,MT,SLS,1
1492226,2025,early_others,FP,SBS,1
1492225,2020,early_others,,SBS,1
1492224,2025,early_others,PN,SBS,0
1492223,2021,early_others,,,1
1492222,2026,early_others,,SI,1
1492221,2025,early_others,,STH,1
1492219,2010,early_others,CH,SBS,1
1492218,2025,early_others,,SBS,1
1492217,2012,early_others,,SBS,0
1492216,2025,early_others,,SCES,1
1492214,2025,early_others,,SCES,0
1492212,2006,early_others,,SBS,1
1492211,2022,early_others,,SBS,1
1492209,2025,early_others,,SHSS,1
1492208,2025,senior_executives,FP,SBS,1
1492207,2025,early_others,,SBS,1
1492206,2025,early_others,FP,SCES,1
1492205,2025,early_others,FP,SCES,1
1492204,2025,early_others,,SCES,1
1492202,2025,early_others,,SCES,1
1492201,2024,early_others,,SCES,1
1492199,2025,technical_professional,PN,SCES,1
1492198,2025,early_others,,STH,1
1492197,2025,early_others,,SCES,1
1492196,2001,early_others,,SBS,1
1492195,2025,senior_executives,FP,SBS,1
1492194,2025,early_others,,SBS,1
1492193,2025,senior_executives,FP,SBS,1
1492191,2009,early_others,,SHSS,0
1492190,2025,senior_executives,FP,SBS,1
1492189,2025,senior_executives,FP,SBS,1
1492188,2025,senior_executives,,SBS,1
1492187,2025,early_others,,SBS,1
1492186,2025,early_others,,SBS,1
1492185,2025,senior_executives,FP,SBS,1
1492184,2025,senior_executives,FP,SBS,1
1492183,2025,early_others,,SBS,1
1492179,2025,early_others,,SCES,1
1492178,2025,early_others,,SCES,1
1492177,2002,senior_executives,,SBS,1
1492176,2025,admin_sales,FP,SBS,1
1492175,1993,technical_professional,MT,SBS,0
1492174,2025,early_others,,SI,1
1492173,2025,early_others,,SHSS,1
1492172,2025,admin_sales,FP,SBS,1
1492171,2025,senior_executives,MT,SBS,0
1492170,2025,early_others,,SCES,1
1492168,2025,early_others,,SLS,0
1492167,2025,early_others,,SHSS,1
1492165,2025,early_others,,SI,1
1492163,2025,early_others,FP,SCES,1
1492160,2025,early_others,,SHSS,0
1492159,2025,early_others,,SCES,1
1492158,2025,early_others,,SI,1
1492156,2025,early_others,,SBS,0
1492155,2025,technical_professional,FP,SCES,1
1492154,2025,technical_professional,FP,SBS,1
1492153,2025,early_others,,SLS,1
1492152,2025,early_others,,SHSS,1
1492151,2025,early_others,,SBS,1
1492150,2025,early_others,,SI,0
1492147,2025,technical_professional,FP,SCES,1
1492146,2017,senior_executives,FP,SBS,1
1492145,2018,early_others,,FIT,1
1492144,2025,early_others,,SBS,1
1492142,2022,early_others,,SBS,1
1492140,2024,early_others,FP,SLS,1
1492139,2014,senior_executives,MT,SBS,1
1492138,2021,early_others,,FIT,1
1492135,2022,early_others,,SLS,1
1492134,2016,early_others,,SBS,1
1492133,2026,admin_sales,MT,SBS,1
1492132,2013,technical_professional,,FIT,1
1492127,2025,early_others,FP,SBS,1
1492126,2011,technical_professional,FP,SBS,1
1492125,2019,technical_professional,PN,STH,1
1492124,2018,technical_professional,FP,FIT,1
1492123,2022,early_others,,FIT,1
1492122,2019,early_others,,SBS,1
1492121,2022,early_others,,,1
1492120,2005,early_others,MT,SBS,1
1492119,2022,early_others,PN,SHSS,1
1492118,2014,early_others,,FIT,1
1492116,2017,early_others,,STH,1
1492115,2015,admin_sales,PN,SBS,0
1492114,2003,early_others,,SBS,1
1492113,2021,early_others,,SBS,1
1492111,2026,early_others,FP,SBS,1
1492110,2021,technical_professional,FP,SCES,1
1492109,2018,early_others,,SI,1
1492106,2023,early_others,,SBS,0
1492105,2016,early_others,,SBS,1
1492104,2023,early_others,,SBS,1
1492103,2018,technical_professional,,SBS,1
1492102,2019,early_others,,SBS,1
1492101,2021,senior_executives,FP,SCES,1
1492100,2021,early_others,,FIT,1
1492099,2017,early_others,,SI,0
